avg_PR,avg_PR_val,avg_PR_top_collabs,avg_disrupt,avg_disrupt_val,avg_disrupt_top_collabs,unique_coauthor_profs_lin_damp,unique_coauthor_profs_lin_damp_val,unique_coauthor_profs_lin_damp_top_collabs
Preti Jain,0.962451221,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",Lijia Ma,0.011983806,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent"",""Mark S. Guyer""]",Trevor J. Pugh,79.67557952,"[""Timothy Fennell"",""Robert C. Onofrio""]"
Timothy E. Reddy,0.190247934,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",Trevor J. Pugh,-6.07E-05,"[""Timothy Fennell"",""Robert C. Onofrio""]",Sahil Seth,68.88505226,"[""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]"
Sachet A. Shukla,0.173160942,"[""Jane Peterson"",""David J. Dooling"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",Zhaoshi Jiang,-0.000536094,"[""Granger G. Sutton"",""Deanna M. Church"",""Terrence S. Furey"",""Michael C. Zody"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Webb Miller""]",Daniel J. Weisenberger,64.95388973,"[""Jane Peterson"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]"
Selina Vattathil,0.169203223,"[""Granger G. Sutton"",""Arian Smit"",""Lucinda Fulton"",""Webb Miller"",""W. James Kent""]",Yotam Drier,-0.001129664,"[""Timothy Fennell"",""Robert C. Onofrio""]",Sachet A. Shukla,62.79305053,"[""Jane Peterson"",""David J. Dooling"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]"
Francesca Antonacci,0.157905729,"[""Michael C. Zody"",""LaDeana W. Hillier"",""Kevin McKernan""]",Selina Vattathil,-0.00124022,"[""Granger G. Sutton"",""Arian Smit"",""Lucinda Fulton"",""Webb Miller"",""W. James Kent""]",Peter H. Sudmant,51.3626143,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]"
Zhaoshi Jiang,0.15547269,"[""Granger G. Sutton"",""Deanna M. Church"",""Terrence S. Furey"",""Michael C. Zody"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Webb Miller""]",T. Daniel Andrews,-0.001366083,"[""Steven E. Scherer"",""Alan Coulson"",""LaDeana W. Hillier"",""David R. Bentley"",""Mark T. Ross""]",Manuel A. Rivas,45.16626941,"[""Jane Peterson"",""Felsenfeld Al"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""David R. Bentley"",""Mark S. Guyer""]"
Zhongwu Lai,0.141083998,"[""Granger G. Sutton"",""Eugene W. Myers"",""Josep F. Abril""]",Mark Cadungog,-0.001434314,"[""David J. Dooling"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",Rileen Sinha,36.68955024,"[""Jane Peterson"",""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]"
Vincent Magrini,0.139996982,"[""Granger G. Sutton"",""Jane Peterson"",""Josep F. Abril"",""Terrence S. Furey"",""Michael C. Wendl"",""Arian Smit"",""David J. Dooling"",""Sean R. Eddy"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Webb Miller"",""W. James Kent""]",Timothy E. Reddy,-0.001984075,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",Daniel Carlin,32.72938268,"[""Michael C. Wendl"",""David J. Dooling"",""Robert C. Onofrio"",""Mark S. Guyer""]"
Manuel A. Rivas,0.139706472,"[""Jane Peterson"",""Felsenfeld Al"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""David R. Bentley"",""Mark S. Guyer""]",Lukas D. Wartman,-0.002131734,"[""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton""]",Georgi K. Marinov,30.49124283,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]"
Bryan R. Lajoie,0.136250932,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",Deqing Pei,-0.002302361,"[""David J. Dooling"",""Lucinda Fulton""]",Yotam Drier,30.04301359,"[""Timothy Fennell"",""Robert C. Onofrio""]"
Jingyi Jessica Li,0.135859365,"[""Michael B. Eisen"",""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",Nathan Boley,-0.002345813,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",Brian A Walker,29.29265089,"[""LaDeana W. Hillier"",""David R. Bentley"",""Mark T. Ross""]"
Jeffery M. Klco,0.135423283,"[""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton""]",Francesca Antonacci,-0.002392427,"[""Michael C. Zody"",""LaDeana W. Hillier"",""Kevin McKernan""]",Efsevia Vakiani,29.05696064,"[""Jane Peterson"",""David J. Dooling"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]"
Georgi K. Marinov,0.130216974,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]",Gane Ka Shu Wong,-0.002974732,"[""Josep F. Abril"",""Terrence S. Furey"",""Arian Smit"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Webb Miller"",""W. James Kent""]",Mara Rosenberg,28.47661861,"[""Michael C. Wendl"",""Timothy Fennell"",""Robert C. Onofrio""]"
Yotam Drier,0.128706793,"[""Timothy Fennell"",""Robert C. Onofrio""]",Peter H. Sudmant,-0.003034603,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]",Zhongwu Lai,28.3264771,"[""Granger G. Sutton"",""Eugene W. Myers"",""Josep F. Abril""]"
Mark Cadungog,0.124279866,"[""David J. Dooling"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",Jeffery M. Klco,-0.003115614,"[""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton""]",Deqing Pei,26.71241242,"[""David J. Dooling"",""Lucinda Fulton""]"
Peter H. Sudmant,0.121881916,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]",Manuel A. Rivas,-0.003395638,"[""Jane Peterson"",""Felsenfeld Al"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""David R. Bentley"",""Mark S. Guyer""]",B. Arman Aksoy,25.75295932,"[""Jane Peterson"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]"
